ORDER_ID,CUSTOMER_ID,PROD_ID,TRANSACTION_DATE,UNITS,MOBILE NUMBER,CUSTOMER_NAME,DOB,STATE_CODE,PRODUCT_CATEGORY,SUB_CATEGORY,PRODUCT_NAME,PRICE,SALES
1,362,141,17-10-2019,8,1000032995,Adam Shillingsburg,14-08-1983,QLD,CHOCOLATES AND SWEETS,CANDIES,NESTLE POLO MINTS 31.2 GM (ROLL),10,80
2,111,101,17-05-2019,1,1000032657,Adrian Barton,4/7/1969,SA,FRUITS,MELONS,musk melons,90,90
3,331,105,15-03-2019,10,1000032964,Denny Joy,31-01-1961,WA,FRUITS,SEASONAL FRUITS,dates imported(500gm),189,1890
4,181,167,05/04/19,9,1000032788,Eleni McCrary,19-06-1958,VIC,CHOCOLATES AND SWEETS,CANDIES,MENTOS ASSORTED CANDIES 156 GM,50,450
5,339,124,08/01/19,4,1000032972,Brian Derr,19-10-1960,WA,CHOCOLATES AND SWEETS,CANDIES,GOLIBOLI ORANGE FLAVOURED HARD BOILED SUGAR CANDY 100 ,20,80
6,78,119,09/12/19,1,1000032624,Harry Greene,6/6/1977,NSW,CHOCOLATES AND SWEETS,CANDIES,CHUPA CHUPS SOUR BELT 57.6 GM,30,30
7,414,94,09/08/19,8,1000033048,Quincy Jones,10/8/1990,VIC,FRUITS,IMPORTED_FRUITS,Avacado,399,3192
8,284,157,10/10/19,7,1000032917,Robert Marley,26-07-1985,WA,CHOCOLATES AND SWEETS,CANDIES,ALPENLIEBE CREAMFILLS BUTTER TOFFEE 174.8 GM,50,350
9,194,137,19-02-2019,9,1000032821,Tamara Willingham,30-09-1957,QLD,CHOCOLATES AND SWEETS,CANDIES,NATURO FRUITSUM MANGO CANDY 135 GM,100,900
10,332,126,15-07-2019,7,1000032965,Bobby Odegard,15-05-1958,WA,CHOCOLATES AND SWEETS,CANDIES,KOPIKO CANDY CAPPUCCINO 175 GM,115,805
11,512,103,11/08/19,8,1000033146,Dorothy Badders,20-09-1946,NSW,FRUITS,SEASONAL FRUITS,amarphal,249,1992
12,237,36,23-09-2019,6,1000032870,Toby Gnade,29-05-1963,SA,VEGETABLES,LEAFY VEGETABLES,CORIANDER (DHANIA PATTA),10,60
13,23,29,12/11/19,9,1000032569,Laurel Beltran,29-01-1951,NSW,VEGETABLES,EXOTIC VEGETABLES,GREEN ZUCCHINI (HARI TURAII),149,1341
14,302,67,03/09/19,9,1000032935,Chloris Kastensmidt,12/3/1947,WA,VEGETABLES,SEASONAL VEGETABLES,capsicum green,56,504
15,249,2,05/12/19,5,1000032882,Mike Vittorini,8/9/1971,SA,VEGETABLES,BEANS,CLUSTER BEANS(GOUAR KI PHALI),89,445
16,355,149,09/07/19,8,1000032988,Adam Hart,6/1/1946,WA,CHOCOLATES AND SWEETS,CANDIES,SWAD IMLI & GUAVA CANDY 100 GM,100,800
17,120,176,16-01-2019,1,1000032666,Alyssa Tate,4/1/1973,NT,CHOCOLATES AND SWEETS,CANDIES,RINDA PURE LYCHEE JELLY 25 GM,99,99
18,19,79,03/11/19,2,1000032565,Ritsa Hightower,30-09-1949,NSW,FRUITS,BANANA,nendran,99,198
19,321,125,04/05/19,8,1000032954,David Kendrick,23-10-1954,WA,CHOCOLATES AND SWEETS,CANDIES,GOLIBOLI STRAWBERRY FLAVOURED HARD BOILED SUGAR CANDY ,20,160
20,16,12,06/02/19,7,1000032562,Thomas Boland,10/1/1952,VIC,VEGETABLES,CHILLI LEMON GARLIC AND GINGER,INDIAN GARLIC (LEHSUN),229,1603
21,422,90,16-12-2019,6,1000033056,Theresa Coyne,24-10-1936,QLD,FRUITS,CITRUS_FRUITS,sweet Tamarind(250gm),89,534
22,552,122,15-09-2019,6,1000033186,Beth Thompson,2/8/1976,WA,CHOCOLATES AND SWEETS,CANDIES,FRUITELLA STRAWBERRY CANDY 36 GM (STICK),30,180
23,346,178,10/10/19,4,1000032979,Sally Hughsby,25-06-1939,WA,CHOCOLATES AND SWEETS,CANDIES,Simpkins Tropical Fruit Travel Sweets Candy 175 gm,275,1100
24,392,31,23-02-2019,3,1000033026,Arthur Gainer,11/11/1959,WA,VEGETABLES,EXOTIC VEGETABLES,ICEBERG LETTUCE,119,357
25,256,7,18-04-2019,3,1000032889,Ted Butterfield,20-01-1942,WA,VEGETABLES,BRINJAL,PURPLE STRIPED BRINJAL (BAINGAN DHARIDAR),48,144
26,424,67,02/01/19,2,1000033058,Nathan Cano,14-03-1935,QLD,VEGETABLES,SEASONAL VEGETABLES,capsicum green,56,112
27,390,63,20-10-2019,10,1000033024,Steven Ward,9/5/1982,WA,VEGETABLES,ROOTY VEGETABLES,sweet potato,59,590
28,590,68,05/03/19,2,1000033224,John Grady,12/2/1983,QLD,VEGETABLES,SEASONAL VEGETABLES,cauliflower,29,58
29,526,163,07/02/19,2,1000033160,Steven Cartwright,20-05-1976,QLD,CHOCOLATES AND SWEETS,CANDIES,COCO CADO ASSORTED 2 IN1 PUDDING 170 GM,50,100
30,220,104,17-02-2019,8,1000032853,Brosina Hoffman,22-04-1948,WA,FRUITS,SEASONAL FRUITS,custard apple,139,1112
31,233,72,07/05/19,8,1000032866,Speros Goranitis,11/5/1966,SA,VEGETABLES,SEASONAL VEGETABLES,pumpkin disco,39,312
32,465,175,25-02-2019,7,1000033099,Christine Kargatis,7/4/1944,QLD,CHOCOLATES AND SWEETS,CANDIES,RINDA PUDDING CUP JELLY 80 GM (PACK OF 6),139,973
33,435,28,17-06-2019,8,1000033069,Matthew Clasen,10/7/1963,QLD,VEGETABLES,EXOTIC VEGETABLES,CURLED PARSLEY,19,152
34,34,68,21-11-2019,10,1000032580,Nora Preis,6/2/1949,SA,VEGETABLES,SEASONAL VEGETABLES,cauliflower,29,290
35,90,82,14-02-2019,2,1000032636,Noah Childs,2/2/1964,NT,FRUITS,BANANA,yellaki,85,170
36,365,26,03/03/19,7,1000032998,Olvera Toch,19-02-1946,WA,VEGETABLES,EXOTIC VEGETABLES,CELERY (AJWAIN),149,1043
37,544,54,06/04/19,2,1000033178,Stuart Calhoun,19-05-1990,QLD,VEGETABLES,SPROUTS AND PEAS,sprouted beans(200gm),32,64
38,265,121,21-12-2019,6,1000032898,Bryan Spruell,15-12-1939,WA,CHOCOLATES AND SWEETS,CANDIES,FRUITELLA ORANGE CANDY 36 GM (STICK),30,180
